pres_number,name,term_dates,prior_office
1.0,"George Washington
","April 30, 1789[e]
–March 4, 1797","Commander-in-Chief
of the
Continental Army(1775–1783)"
2.0,"John Adams
","March 4, 1797
–March 4, 1801","1st
Vice President of the United States"
3.0,"Thomas Jefferson
","March 4, 1801
–March 4, 1809","2nd
Vice President of the United States"
4.0,"James Madison
","March 4, 1809
–March 4, 1817","5th
United States Secretary of State(1801–1809)"
5.0,"James Monroe
","March 4, 1817
–March 4, 1825","7th
United States Secretary of State(1811–1817)"
6.0,"John Quincy Adams
","March 4, 1825
–March 4, 1829","8th
United States Secretary of State(1817–1825)"
7.0,"Andrew Jackson
","March 4, 1829
–March 4, 1837",U.S. Senator (Class 2) from Tennessee(1797–1798 & 1823–1825)
8.0,"Martin Van Buren
","March 4, 1837
–March 4, 1841","8th
Vice President of the United States"
9.0,"William Henry Harrison
","March 4, 1841
–April 4, 1841(Died in office)",United States Minister to Colombia(1828–1829)
10.0,"John Tyler
","April 4, 1841[k]
–March 4, 1845","10th
Vice President of the United States"
11.0,"James K. Polk
","March 4, 1845
–March 4, 1849","9th
Governor of Tennessee(1839–1841)"
12.0,"Zachary Taylor
","March 4, 1849
–July 9, 1850(Died in office)",Major General of the 1st Infantry RegimentUnited States Army(1846–1849)(No prior elected office)
13.0,"Millard Fillmore
","July 9, 1850[m]
–March 4, 1853","12th
Vice President of the United States"
14.0,"Franklin Pierce
","March 4, 1853
–March 4, 1857",Brigadier General of the 9th InfantryUnited States Army(1847–1848)
15.0,"James Buchanan
","March 4, 1857
–March 4, 1861",United States Minister to theCourt of St James's(1853–1856)
16.0,"Abraham Lincoln
","March 4, 1861
–April 15, 1865(Died in office)",U.S. Representative for Illinois' 7th District(1847–1849)
17.0,"Andrew Johnson
","April 15, 1865
–March 4, 1869","16th
Vice President of the United States"
18.0,"Ulysses S. Grant
","March 4, 1869
–March 4, 1877",Commanding General of the U.S. Army(1864–1869)(No prior elected office)
19.0,"Rutherford B. Hayes
","March 4, 1877
–March 4, 1881","29th & 32nd
Governor of Ohio(1868–1872 & 1876–1877)"
20.0,"James A. Garfield
","March 4, 1881
–September 19, 1881(Died in office)",U.S. Representative for Ohio's 19th District(1863–1881)
21.0,"Chester A. Arthur
","September 19, 1881[p]
–March 4, 1885","20th
Vice President of the United States"
22.0,"Grover Cleveland
","March 4, 1885
–March 4, 1889","28th
Governor of New York(1883–1885)"
23.0,"Benjamin Harrison
","March 4, 1889
–March 4, 1893",U.S. Senator (Class 1) from Indiana(1881–1887)
24.0,"Grover Cleveland
","March 4, 1893
–March 4, 1897","22nd
President of the United States(1885–1889)"
25.0,"William McKinley
","March 4, 1897
–September 14, 1901(Died in office)","39th
Governor of Ohio(1892–1896)"
26.0,"Theodore Roosevelt
","September 14, 1901
–March 4, 1909","25th
Vice President of the United States"
27.0,"William Howard Taft
","March 4, 1909
–March 4, 1913","42nd
United States Secretary of War(1904–1908)"
28.0,"Woodrow Wilson
","March 4, 1913
–March 4, 1921","34th
Governor of New Jersey(1911–1913)"
29.0,"Warren G. Harding
","March 4, 1921
–August 2, 1923(Died in office)",U.S. Senator (Class 3) from Ohio(1915–1921)
30.0,"Calvin Coolidge
","August 2, 1923[q]
–March 4, 1929","29th
Vice President of the United States"
31.0,"Herbert Hoover
","March 4, 1929
–March 4, 1933","3rd
United States Secretary of Commerce(1921–1928)(No prior elected office)"
32.0,"Franklin D. Roosevelt
","March 4, 1933
–
April 12, 1945(Died in office)","44th
Governor of New York(1929–1932)"
33.0,"Harry S. Truman
","April 12, 1945
–January 20, 1953","34th
Vice President of the United States"
34.0,"Dwight D. Eisenhower
","January 20, 1953
–January 20, 1961",Supreme Allied Commander Europe(1949–1952)(No prior elected office)
35.0,"John F. Kennedy
","January 20, 1961
–November 22, 1963(Died in office)",U.S. Senator (Class 1) from Massachusetts(1953–1960)
36.0,"Lyndon B. Johnson
","November 22, 1963
–January 20, 1969","37th
Vice President of the United States"
37.0,"Richard Nixon
","January 20, 1969
–August 9, 1974(Resigned from office)","36th
Vice President of the United States(1953–1961)"
38.0,"Gerald Ford
","August 9, 1974
–January 20, 1977","40th
Vice President of the United States"
39.0,"Jimmy Carter
","January 20, 1977
–January 20, 1981","76th
Governor of Georgia(1971–1975)"
40.0,"Ronald Reagan
","January 20, 1981
–January 20, 1989","33rd
Governor of California(1967–1975)"
41.0,"George H. W. Bush
","January 20, 1989
–January 20, 1993","43rd
Vice President of the United States"
42.0,"Bill Clinton
","January 20, 1993
–January 20, 2001","40th & 42nd
Governor of Arkansas(1979–1981 & 1983–1992)"
43.0,"George W. Bush
","January 20, 2001
–January 20, 2009","46th
Governor of Texas(1995–2000)"
44.0,"Barack Obama
","January 20, 2009
–January 20, 2017",U.S. Senator (Class 3) from Illinois(2005–2008)
45.0,"Donald Trump
","January 20, 2017
–Incumbent",Chairman ofThe Trump Organization(1971–2017)(No prior elected office)
